SN2025ahsa 0.015 218.750875871 0.986217887085
filter Is 
61038.28416 15.12072094 0.09408694806118537
61040.28351 15.19940559 0.12422207812964976
61052.2677 16.01255338 0.3442022439442535
61068.20692 15.40565728 0.10534865894761036
61070.20149 15.56736144 0.17989905651282412
61071.2788 15.71838214 0.1388270903854816
61072.26808 15.86233364 0.1952320651466459
61078.25827 16.23188091 0.6711156124420826
61081.18664 16.27504705 0.24038439712268034
61082.18819 16.35480193 0.22658009067498835
61092.17647 16.63966696 0.2572263264134237
61101.1124 16.78622371 0.5656519388056834
61108.10118 16.78494384 0.4203144019178794
61115.09824 17.50981974 0.6979165619301275
filter Rs 
61038.27659 14.7236693 0.052451742222308695
61040.27594 14.76292613 0.03672431069596859
61052.26014 15.31058602 0.09532222395928007
61068.19935 15.69011081 0.07450462841003488
61070.19392 15.89119536 0.11320807355070718
61071.27123 15.91441759 0.08657342787527125
61072.26052 15.92825967 0.13488621991129846
61078.2507 16.79767212 0.44049666359789513
61079.17418 16.3656199 0.376682524711014
61081.17908 16.35910672 0.11640569497766111
61082.18062 16.39652212 0.1104667109194896
61092.1689 16.68846651 0.11879606053048059
61095.22159 16.71601357 0.19422005945594334
61101.10483 16.84694465 0.3362227629048748
61108.09362 17.11484 0.27174521031546356
61115.09067 17.3711378 0.24501817657355507
filter Vs 
61036.26599 14.53569707 0.0608187002910793
61040.2608 14.71356886 0.03415983418796351
61052.24501 15.17418139 0.20458290274408117
61062.24818 15.79743804 0.0793829979351588
61070.17878 16.30104113 0.18847929745467493
61071.25609 16.34334842 0.1499372143921919
61072.24539 16.32690584 0.1978162124728814
61078.23557 16.26391854 0.2590898261457467
61081.16394 16.44098045 0.3744454314657755
61082.16548 16.83073444 0.15220822925786204
61089.16305 16.81689542 0.27305802319909794
61092.15376 16.96105366 0.34125431538572754
61095.20646 17.01535528 0.14522162675407316
61101.0897 17.00175149 0.44963339404303165
61108.07848 17.12151641 0.31214608415589445
filter Bs 
61038.27205 14.79178985 0.0985539156914831
61040.26838 14.83440988 0.08027921456371616
61068.19481 17.25979077 0.21934700344097674
61070.18636 17.48600355 0.9421629826553481
61071.26368 17.59020884 0.588210463944004
61072.259 17.27365592 0.4826701981242923
61078.24315 17.31872968 0.6201182740793524
61081.17454 17.27651832 0.30519570131620677
61082.17306 17.53824351 0.2768965670574681
61089.17063 17.60914786 0.480280889360869
61092.16436 17.97480032 0.3267768558273604
61108.08606 17.37282915 0.495940324300632
