SN2026kc 0.0228 155.60448352 4.00043379084
filter Is 
61068.05836 15.25853439 0.32521055862090037
61070.05518 15.34753661 0.36426209721667235
61071.10819 15.03844164 0.31288867619082866
61079.0787 15.51844261 0.34606592480539483
61081.00095 15.34227743 0.2823186770849797
61093.99727 15.54507604 0.34570171586524107
61105.97804 15.53979772 0.3768895948259459
filter Rs 
61068.05079 15.22189061 0.28143194505289093
61070.04761 15.32832385 0.2932406714176305
61071.10062 15.06143775 0.28099959631592586
61079.07113 15.65978988 0.3034897668359465
61080.99337 15.55882656 0.2574928641170739
61091.99431 15.83318167 0.2874079319362755
61093.9897 15.8492354 0.29522580148881333
61095.04489 15.76641374 0.24325959635076513
61095.93063 15.8722022 0.18677040372770934
61105.97054 15.83539255 0.31624193990272575
filter Vs 
61062.09484 15.79002925 0.08550325539739073
61064.00842 15.45955761 0.11881512813978871
61068.03565 15.49291657 0.2143107320852022
61070.03248 15.40747561 0.2926802813850002
61071.08549 15.91763469 0.43404237753784153
61072.06841 15.83859001 0.33227464099702214
61079.05433 15.86388677 0.3486138630803969
61080.97825 15.96429435 0.27859684391857087
61089.01688 16.27133044 0.34341342750354864
61091.97918 16.26959378 0.3202875887292239
61093.95359 16.23912162 0.22058944211575046
61093.97456 16.31167999 0.3534343171168808
61095.02975 16.36568679 0.3403166198853705
61095.91335 16.13577652 0.44762881088512735
61107.90864 16.44848599 0.30655269491386955
filter Bs 
61062.10243 15.93930773 0.07373200138768496
61070.04308 15.81109833 0.24337663422978817
61079.06357 16.52596287 0.19107865452730355
61091.98676 17.47482452 0.1873211167321846
61093.97293 17.32667564 0.5914213573306979
61093.98214 17.59351979 0.2767630860102463
61095.9425 17.49201306 1.1283589435412955
61105.966 17.50986863 0.44493580903904584
61107.91622 17.56037654 0.2502386030682483
