SN2025advo 0.014083 124.416181802 4.61476787169
filter Is 
60998.14206 16.88853014 0.28114484821928404
61005.16414 15.99412154 0.1287023898668699
61006.27304 15.79492132 0.11502986473494205
61008.11226 15.54734346 0.10303125730991819
61009.10706 15.47043118 0.10640505430678121
61014.09943 15.45780707 0.45559136926735283
61015.09205 14.56917747 0.15711263753324595
61017.08278 15.36417936 0.5350041857227222
61020.08432 14.90937309 0.08284842718425546
61028.05307 14.81813446 0.061972969631189735
61029.10631 14.88874454 0.06085979030401895
61030.04929 14.88552304 0.058627364575309794
61035.03224 14.8683679 0.057649299472990315
61036.04672 14.78922162 0.05828178525879003
61049.99563 14.86244889 0.07002098212232816
61051.9901 15.00569568 0.07461866964539642
61062.0432 15.34681541 0.0794491635949039
61078.93559 15.51856567 0.09560658713444775
filter Rs 
60998.13449 17.28209174 0.16143407511383545
61005.15657 16.11518254 0.06476829994600472
61006.26547 15.94421668 0.05975106144330266
61008.10469 15.73845663 0.05484773503740312
61009.09948 15.59540638 0.055991467879525095
61013.08958 15.21820086 0.08797311832824639
61017.07521 15.31663527 0.2978153778986431
61020.07675 15.15752596 0.0577365241207796
61028.04549 15.09488859 0.04077503891215826
61029.09874 15.14872832 0.03563627329297216
61030.04171 15.13038962 0.03595293498319581
61035.02467 15.127414 0.04023044095042247
61036.03914 15.17239423 0.03842740102696519
61049.98805 15.29652771 0.04525143574695738
61051.98252 15.46025133 0.04773571584279055
61062.03562 15.76439929 0.06400429566758566
61067.94534 15.8111542 0.1176203149605037
61078.92802 16.03886608 0.07435127820042105
filter Vs 
60998.11933 17.46615244 0.18532569616418856
61005.1414 16.28202415 0.07754655110516816
61006.25031 16.09482384 0.07196455191762431
61008.08952 15.82543988 0.059582431729084576
61009.08267 15.73193062 0.06463112177948628
61013.07443 15.27803229 0.11987026638133987
61017.06005 15.18877533 0.20627714143426298
61028.03033 15.29453745 0.04406580144071132
61029.08357 15.38444772 0.03671916165076768
61030.02655 15.37726511 0.04131469234614607
61031.05323 15.4167778 0.04578733739585865
61035.00951 15.4654194 0.046591248461017164
61036.02398 15.46413816 0.047606436419526575
61049.9729 15.76411922 0.06179840125451668
61051.96736 15.82524417 0.06107377917724773
61062.02047 16.19997351 0.07336951487752894
61062.93535 16.14879269 0.08302648111506374
61067.93018 16.22534653 0.2075886334920848
61075.87728 16.33522885 0.08424384564873302
61078.91287 16.55399532 0.10803339879562211
filter Bs 
60998.12692 17.04804454 0.13116978875881766
61005.14899 16.43770864 0.08954055187820818
61006.2579 16.17542673 0.0598371108663047
61008.09711 15.89420543 0.06628844634394558
61009.09191 15.85862326 0.0748705855788388
61013.08201 15.58250043 0.16252817153952892
61015.07688 15.47086938 0.18047538165705326
61020.06918 15.70386901 0.08560960311293733
61028.03793 16.0320851 0.06797102083540621
61029.09116 16.21387628 0.06970577498185236
61030.03414 16.03553648 0.06444086723214679
61035.01709 16.28338613 0.0746924776484944
61036.03157 16.26107722 0.08520567978274268
61049.98048 16.97869268 0.189840986664447
61051.97495 16.96316851 0.1150926261794676
61062.02805 17.34505742 0.17846305618538527
61078.92045 17.61283099 0.21586308673425758
