SN2026acd 0.00758 183.0531491 13.221751
filter Is 
61068.14184 13.40456806 0.3079299823432152
61070.12319 13.42969401 0.3315808471694633
61071.16512 13.49653523 0.2936237647238412
61072.15246 13.67996202 0.36789575819965814
61079.13706 14.03831657 0.400669626072911
61081.05779 14.02787655 0.34809955234953055
61082.05575 14.1403027 0.3396616302373478
61092.07171 13.83268342 0.34284882571484765
61095.08933 13.93012798 0.3289693564615968
61115.03214 15.20803949 0.39853699832241785
filter Rs 
61068.13427 13.12213452 0.32850406339683685
61070.11564 13.10409445 0.3225955344590416
61071.15757 13.1228642 0.316581042164438
61072.14341 13.0348547 0.333780979571522
61079.13252 13.5520382 0.35583017927534055
61081.05023 13.73152437 0.3376202901474753
61082.04819 13.58621244 0.18169687544752033
61084.97394 14.43449686 0.16833074147207722
61092.06415 14.02745724 0.33181155148609953
61093.99202 14.62833188 0.05221204665920601
61095.08176 14.24072019 0.3283176249643507
61095.95941 14.77516305 0.10891911295335747
61103.00004 15.11477783 0.19239603483750997
61110.02778 15.5392778 0.05423690260842394
61115.02457 15.40341414 0.3720417858509125
filter Vs 
61068.12369 13.06401592 0.3545136020508392
61079.1159 13.5038719 0.35593217056028315
61081.03964 13.71669038 0.4216290810802568
61082.03459 13.76490717 0.41534482104640347
61084.96284 14.49929792 0.03422564127604544
61089.06073 14.15725008 0.4148079721397933
61092.05205 14.39294557 0.43195397724112167
61093.98043 15.09950701 0.0667645272085419
61093.98121 15.1477158 0.06280067679881168
61095.96285 15.15796849 0.09654137134441039
61095.94858 16.28507322 1.1360598804485282
61102.9908 15.84976656 0.3109396671096247
61115.01247 15.51474487 0.4668408648299676
filter Bs 
61084.96916 15.21924372 0.08334366922892265
61093.98625 16.19038986 0.17744286254749023
61093.98788 16.26178964 0.13912884139912973
61095.97191 16.37064119 0.22385747499258635
