SN2026atb 0.017941 218.613723685 21.9496798525
filter Is 
61071.24495 15.4376456 0.1843373261172796
61072.23576 15.42595045 0.2586402634466705
61078.22475 15.41338609 0.16070980548243968
61081.14328 15.9154646 0.26912116526651425
61089.11993 16.30754836 0.21007724565266198
61094.16765 17.25944269 0.5042545303578847
61095.19683 16.63396837 0.2348602039326186
61106.11826 16.83105178 0.6271701725247846
61107.07388 15.59174703 0.22761927534544418
61108.06757 16.02174155 0.18898960704251433
61112.08326 16.45386006 0.3757366998545226
filter Rs 
61071.2389 15.39136293 0.13217303867525346
61072.2282 15.4431976 0.14088514285589063
61078.2172 15.19322866 0.1018465402735944
61081.13571 15.460166 0.11471432897010281
61089.11237 15.93447137 0.08249037110543214
61092.12569 15.9997791 0.26739047089642226
61093.97375 15.92783954 0.14291274556125363
61094.16009 16.07995536 0.11867245038942285
61095.18926 16.18813 0.12171957505721093
61103.01839 16.02847059 0.2176795593403833
61106.1107 16.19183575 0.28931163696970824
61107.06631 16.08604156 0.18499754716862127
61108.06 16.52663657 0.1673346385233823
61110.05549 16.44921734 0.13864134070728268
61112.07569 16.70637235 0.21144307594357312
filter Vs 
61078.20209 15.30563092 0.16663103614357222
61081.12057 15.50550864 0.10033783917148849
61092.11055 15.55005166 0.10372658928879588
61093.95902 15.99108123 0.16322695743755122
61094.1495 16.08016078 0.1240920360495137
61103.0118 16.28349714 0.2689246838299419
61106.09559 16.70272413 0.3609417166368721
61107.05118 16.7860098 0.28384036098982884
61112.06059 16.54812468 0.18772621792835442
61115.0431 17.4494454 0.23189710343599984
filter Bs 
61093.9653 16.34602264 0.24478453457520366
61107.06026 18.51291226 1.4824774157789509
