SN2025acsn_subbed 0.015791 346.8283843 42.1988628
filter Is 
61007.83599 15.72422469 0.2704489098347212
61008.83464 15.76147311 0.3675203640135248
61012.85348 15.85981565 0.341861558490706
61013.85341 15.98128952 0.47757674321148724
61016.83461 15.93378467 0.20496302901953595
61017.83489 15.83135513 0.216740095362682
61019.83586 16.006188 0.23279517508369135
61029.85688 15.85389593 0.2483909586937134
61034.83965 15.95454549 0.26798028400615787
61035.84606 16.03818415 0.3536515430905484
61038.83995 15.83200514 0.5487754436977214
61051.89671 16.29902188 0.2930427394432858
61065.86723 17.21044759 0.41975611345212216
filter Rs 
61006.85234 15.34018481 0.3196305160720863
61006.85315 15.63504011 0.15394322891798928
61007.82857 15.69268724 0.17904740745319359
61008.82573 15.71102294 0.30334000333952976
61012.8459 15.84517379 0.26324036137333096
61013.84583 16.03799936 0.28433233802351404
61014.82692 15.90266423 0.9249212433460268
61016.82701 16.08221354 0.12086950364077677
61017.76595 15.88211348 0.22016649174026148
61017.82731 16.01839534 0.14120128676902288
61018.82732 16.09988573 0.14786158300683097
61019.82827 16.18752253 0.14164917702638166
61028.86777 16.10734439 0.1563898114247234
61029.8493 16.24497035 0.1445964940008456
61034.83207 16.3134587 0.18531028667139918
61035.83847 16.62194829 0.22166419530746503
61038.83237 16.29437165 0.4842972142334803
61051.88914 16.98734734 0.17417175120866887
61065.85965 17.017055 0.27276197428942134
filter Vs 
61005.8101 15.81528832 0.20799864862091316
61006.83798 15.77377004 0.2482680891971613
61007.81123 15.75868944 0.4125191989681602
61008.80994 15.84281824 0.9148976632832762
61011.82595 16.16346515 0.4010757053189628
61012.83073 16.09957658 0.5884587832358865
61013.83067 16.19343376 0.4840787063965206
61014.81174 16.32634432 0.8425955895120993
61016.81182 16.1247106 0.19879141366878186
61017.75652 16.19980478 0.473147532687204
61017.81209 16.18680801 0.2052081675680288
61018.81215 16.23966363 0.2976339616040267
61019.8131 16.51102472 0.18597588639879226
61027.93151 16.65085223 0.226954725585299
61028.85261 16.72525837 0.2034368485535174
61029.83414 16.77382828 0.22166971815633377
61031.81578 16.78478853 0.2297047431361701
61034.81691 16.9327971 0.3112036434273056
61035.8233 17.07816414 0.3659459702517602
61038.8172 16.56027295 0.7761380174272136
61051.87397 17.35739657 0.2566690511556128
61065.84448 17.589501 0.4726173569686901
61072.76913 17.62685395 1.137768559198655
filter Bs 
61006.84625 16.06008827 0.5885673110036971
61006.84557 16.24766138 0.4071511113510016
61012.83832 16.44810596 1.2219396165115002
61013.83825 16.72711516 1.188091304506186
61014.81934 16.8499485 1.5327163103795047
61016.81942 16.93315819 0.35071070323656073
61017.75986 16.8279339 1.2202113430012513
61017.81968 16.73784747 0.35141742159930756
61018.81974 16.77593495 1.1028974643517326
61019.8207 17.42211269 0.19735819940753016
61028.86019 17.74786257 0.34864525151574105
61029.84173 17.897628 0.44222364993900065
61031.82338 17.2969435 0.5298886778630457
61034.8245 18.02226367 0.8631132996698303
61035.83089 18.54369027 1.1100605039006906
61038.82479 17.77002491 2.347996145547662
61051.88156 17.97082475 0.6199240895663998
