SN2025afwg 20.6387489 42.8178164 50.8743039
filter Is 
61027.92188 16.02832059 0.2789632497874907
61034.89167 16.00175137 0.12877639375144712
61038.89051 16.25798468 0.3512866252398354
61049.86277 16.65972871 0.5698112016468756
61051.84597 16.25595588 0.1878511537883138
61064.85268 15.94442702 0.2108712299756854
61070.92205 16.19203063 0.2848946528959843
61071.91951 16.25680942 0.25582295156408175
61072.92396 16.03742515 0.2682894006103052
filter Rs 
61018.87932 16.67731399 0.19952016023473784
61019.88025 16.61627324 0.10105419383625222
61029.88768 16.49470818 0.08711981559060099
61034.88408 16.44604495 0.08645281680592734
61038.02411 16.6005586 1.158973215640983
61038.88293 16.56331425 0.21722055791274253
61052.8943 16.83223688 0.9020896540036716
61064.84509 16.59070435 0.1415997140757511
61070.91447 16.63242787 0.23320842451577542
61071.91192 16.69322729 0.22202112942972924
61072.91639 16.57355099 0.31010087470338366
filter Vs 
61017.95781 17.17427568 0.20760783425223217
61018.86415 17.46066451 0.17941938422533854
61019.86508 17.15641317 0.14208029276199213
61027.89912 17.23555334 0.1413502643544378
61029.8725 17.28775093 0.14296793683785872
61031.02436 17.24522087 0.13992514723691368
61031.83339 16.87080571 0.1010490829103583
61034.8689 17.20966345 0.15171300662720402
61038.86776 17.09061995 0.33266840846694234
61049.84003 17.45307816 0.17575965900115667
61051.8232 17.78244974 0.2193204573189192
61052.87915 17.69359355 0.5171468793489836
61055.8358 17.34997273 0.2321831830116106
61064.82993 17.34054528 0.3024415150720473
61070.89931 17.35017618 0.4635941359141091
61071.89675 17.39444435 0.48321194064990636
filter Bs 
61018.87174 17.51166123 0.2908851195138049
61027.90671 18.16035724 0.288823411875216
61029.88011 18.12689343 0.27222802376565236
61034.8765 17.76634985 0.2459034692790146
61038.87535 17.90466521 0.71495445979382
61049.84762 17.29105878 0.2838528533679693
61051.8308 18.90447297 0.5408694297749307
61052.88673 17.78798597 0.45326446123207764
61064.83752 17.8390663 0.5926807098605729
61070.9069 18.3987015 2.4164410708821236
61072.90881 17.32905334 0.9435932558172649
