# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
58501.8, 13.580 0.023
58502.8, 13.493 0.014
58503.8, 13.424 0.011
58504.8, 13.374 0.011
58505.8, 13.336 0.011
58506.8, 13.309 0.010
58507.8, 13.289 0.008
58508.8, 13.275 0.008
58509.8, 13.266 0.007
58510.8, 13.262 0.007
58511.8, 13.265 0.007
58512.8, 13.275 0.007
58513.8, 13.293 0.007
58514.8, 13.320 0.007
58515.8, 13.355 0.008
58516.8, 13.400 0.008
58517.8, 13.452 0.008
58518.8, 13.510 0.008
58519.8, 13.572 0.009
58520.8, 13.636 0.010
58521.8, 13.699 0.010
58522.8, 13.757 0.011
58523.8, 13.809 0.012
58524.8, 13.846 0.013
58525.8, 13.870 0.014
58526.8, 13.889 0.014
58527.8, 13.904 0.015
58528.8, 13.917 0.015
58529.8, 13.928 0.015
58530.8, 13.939 0.016
58531.8, 13.951 0.017
58532.8, 13.965 0.019
58533.8, 13.981 0.021
58534.8, 14.001 0.023
58535.8, 14.025 0.024
58536.8, 14.053 0.023
58537.8, 14.085 0.022
58538.8, 14.122 0.022
58539.8, 14.166 0.024
58540.8, 14.215 0.027
58541.8, 14.267 0.031
58542.8, 14.325 0.034
58543.8, 14.389 0.034
58544.8, 14.458 0.032
58545.8, 14.530 0.029
58546.8, 14.601 0.029
58547.8, 14.669 0.030
58548.8, 14.735 0.033
58549.8, 14.795 0.036
58550.8, 14.849 0.040
58551.8, 14.896 0.042
58552.8, 14.936 0.044
58553.8, 14.972 0.046
58554.8, 15.006 0.048
58555.8, 15.040 0.049
58556.8, 15.071 0.047
58557.8, 15.102 0.044
58558.8, 15.134 0.043
58559.8, 15.167 0.047
58560.8, 15.202 0.055
58561.8, 15.238 0.064
58562.8, 15.274 0.070
58563.8, 15.310 0.070
58564.8, 15.346 0.065
58565.8, 15.383 0.061
58566.8, 15.423 0.062
58567.8, 15.465 0.069
58568.8, 15.507 0.078
58569.8, 15.545 0.085
58570.8, 15.575 0.091
58571.8, 15.595 0.096
58572.8, 15.608 0.098
58573.8, 15.618 0.100
58574.8, 15.631 0.106
58575.8, 15.648 0.112
58576.8, 15.670 0.118
58577.8, 15.698 0.120
58578.8, 15.731 0.124
