# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
58501.1, 13.625 0.016
58502.1, 13.508 0.010
58503.1, 13.414 0.008
58504.1, 13.338 0.008
58505.1, 13.278 0.007
58506.1, 13.232 0.007
58507.1, 13.199 0.006
58508.1, 13.177 0.006
58509.1, 13.163 0.006
58510.1, 13.158 0.005
58511.1, 13.160 0.006
58512.1, 13.167 0.006
58513.1, 13.181 0.006
58514.1, 13.199 0.006
58515.1, 13.225 0.006
58516.1, 13.254 0.006
58517.1, 13.289 0.006
58518.1, 13.328 0.006
58519.1, 13.370 0.007
58520.1, 13.416 0.007
58521.1, 13.466 0.007
58522.1, 13.517 0.008
58523.1, 13.572 0.008
58524.1, 13.631 0.009
58525.1, 13.692 0.009
58526.1, 13.754 0.010
58527.1, 13.815 0.011
58528.1, 13.872 0.012
58529.1, 13.925 0.013
58530.1, 13.974 0.014
58531.1, 14.020 0.015
58532.1, 14.066 0.017
58533.1, 14.112 0.019
58534.1, 14.161 0.021
58535.1, 14.214 0.023
58536.1, 14.270 0.023
58537.1, 14.327 0.021
58538.1, 14.384 0.020
58539.1, 14.439 0.021
58540.1, 14.493 0.025
58541.1, 14.553 0.031
58542.1, 14.614 0.036
58543.1, 14.675 0.038
58544.1, 14.733 0.037
58545.1, 14.785 0.035
58546.1, 14.833 0.033
58547.1, 14.878 0.032
58548.1, 14.925 0.033
58549.1, 14.978 0.036
58550.1, 15.033 0.040
58551.1, 15.088 0.043
58552.1, 15.134 0.046
58553.1, 15.170 0.049
58554.1, 15.196 0.049
58555.1, 15.216 0.047
58556.1, 15.235 0.043
58557.1, 15.257 0.040
58558.1, 15.282 0.039
58559.1, 15.309 0.041
58560.1, 15.334 0.046
58561.1, 15.357 0.053
58562.1, 15.380 0.059
58563.1, 15.402 0.062
58564.1, 15.427 0.061
58565.1, 15.455 0.058
58566.1, 15.485 0.055
58567.1, 15.517 0.056
58568.1, 15.550 0.061
58569.1, 15.584 0.070
58570.1, 15.617 0.080
58571.1, 15.644 0.088
58572.1, 15.666 0.093
58573.1, 15.682 0.092
58574.1, 15.697 0.090
58575.1, 15.712 0.098
58576.1, 15.730 0.109
58577.1, 15.752 0.106
58578.1, 15.777 0.102
58579.1, 15.804 0.126
