# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
61068.6, 15.740 0.018
61069.6, 15.630 0.011
61070.6, 15.546 0.008
61071.6, 15.482 0.007
61072.6, 15.433 0.007
61073.6, 15.395 0.006
61074.6, 15.366 0.006
61075.6, 15.345 0.006
61076.6, 15.331 0.006
61077.6, 15.324 0.006
61078.6, 15.325 0.007
61079.6, 15.335 0.007
61080.6, 15.355 0.007
61081.6, 15.385 0.007
61082.6, 15.426 0.007
61083.6, 15.478 0.008
61084.6, 15.539 0.008
61085.6, 15.608 0.008
61086.6, 15.682 0.009
61087.6, 15.758 0.010
61088.6, 15.833 0.010
61089.6, 15.899 0.011
61090.6, 15.956 0.011
61091.6, 16.001 0.012
61092.6, 16.036 0.013
61093.6, 16.062 0.013
61094.6, 16.078 0.013
61095.6, 16.087 0.013
61096.6, 16.092 0.013
61097.6, 16.096 0.013
61098.6, 16.102 0.014
61099.6, 16.113 0.015
61100.6, 16.128 0.015
61101.6, 16.148 0.016
61102.6, 16.173 0.016
61103.6, 16.202 0.016
61104.6, 16.235 0.016
61105.6, 16.272 0.017
61106.6, 16.315 0.018
61107.6, 16.364 0.019
61108.6, 16.420 0.020
61109.6, 16.481 0.022
61110.6, 16.547 0.024
61111.6, 16.614 0.027
61112.6, 16.679 0.029
61113.6, 16.739 0.030
61114.6, 16.792 0.030
61115.6, 16.840 0.031
61116.6, 16.885 0.032
61117.6, 16.931 0.033
61118.6, 16.978 0.035
61119.6, 17.025 0.035
61120.6, 17.073 0.036
61121.6, 17.119 0.038
61122.6, 17.163 0.041
61123.6, 17.204 0.044
61124.6, 17.241 0.047
61125.6, 17.275 0.049
61126.6, 17.307 0.051
61127.6, 17.337 0.055
61128.6, 17.369 0.057
61129.6, 17.401 0.058
61130.6, 17.434 0.060
61131.6, 17.468 0.060
61132.6, 17.501 0.060
61133.6, 17.534 0.061
61134.6, 17.569 0.066
61135.6, 17.605 0.074
61136.6, 17.640 0.083
61137.6, 17.670 0.090
61138.6, 17.694 0.092
61139.6, 17.713 0.091
61140.6, 17.731 0.089
61141.6, 17.748 0.086
61142.6, 17.768 0.085
61143.6, 17.791 0.087
61144.6, 17.820 0.093
61145.6, 17.853 0.097
61146.6, 17.894 0.100
