#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61078.20  15.306  0.167  0
61081.12  15.506  0.100  0
61092.11  15.550  0.104  0
61093.96  15.991  0.163  0
61094.15  16.080  0.124  0
61103.01  16.283  0.269  0
61106.10  16.703  0.361  0
61107.05  16.786  0.284  0
61112.06  16.548  0.188  0
61115.04  17.449  0.232  0
