# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
61036.0, 15.807 0.021
61037.0, 15.728 0.014
61038.0, 15.669 0.011
61039.0, 15.618 0.011
61040.0, 15.579 0.011
61041.0, 15.550 0.009
61042.0, 15.529 0.008
61043.0, 15.513 0.008
61044.0, 15.503 0.007
61045.0, 15.499 0.007
61046.0, 15.501 0.007
61047.0, 15.510 0.007
61048.0, 15.528 0.007
61049.0, 15.554 0.007
61050.0, 15.590 0.008
61051.0, 15.632 0.008
61052.0, 15.682 0.008
61053.0, 15.739 0.008
61054.0, 15.799 0.009
61055.0, 15.862 0.010
61056.0, 15.925 0.010
61057.0, 15.985 0.011
61058.0, 16.039 0.012
61059.0, 16.086 0.013
61060.0, 16.122 0.014
61061.0, 16.149 0.014
61062.0, 16.170 0.015
61063.0, 16.188 0.015
61064.0, 16.204 0.015
61065.0, 16.219 0.016
61066.0, 16.233 0.017
61067.0, 16.249 0.018
61068.0, 16.267 0.020
61069.0, 16.286 0.022
61070.0, 16.308 0.023
61071.0, 16.335 0.023
61072.0, 16.366 0.022
61073.0, 16.401 0.022
61074.0, 16.440 0.022
61075.0, 16.484 0.025
61076.0, 16.533 0.029
61077.0, 16.587 0.032
61078.0, 16.646 0.034
61079.0, 16.709 0.033
61080.0, 16.775 0.031
61081.0, 16.841 0.029
61082.0, 16.908 0.029
61083.0, 16.974 0.030
61084.0, 17.036 0.033
61085.0, 17.093 0.037
61086.0, 17.144 0.040
61087.0, 17.188 0.042
61088.0, 17.225 0.044
61089.0, 17.256 0.046
61090.0, 17.284 0.048
61091.0, 17.311 0.048
61092.0, 17.338 0.047
61093.0, 17.367 0.044
61094.0, 17.398 0.043
61095.0, 17.431 0.047
61096.0, 17.464 0.054
61097.0, 17.498 0.064
61098.0, 17.532 0.070
61099.0, 17.567 0.070
61100.0, 17.602 0.066
61101.0, 17.638 0.061
61102.0, 17.676 0.061
61103.0, 17.717 0.068
61104.0, 17.759 0.076
61105.0, 17.798 0.083
61106.0, 17.828 0.090
61107.0, 17.836 0.095
61108.0, 17.837 0.097
61109.0, 17.834 0.099
61110.0, 17.831 0.103
61111.0, 17.832 0.109
61112.0, 17.838 0.116
61113.0, 17.850 0.120
