# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
61066.6, 16.318 0.026
61067.6, 16.119 0.021
61068.6, 15.958 0.017
61069.6, 15.831 0.014
61070.6, 15.737 0.013
61071.6, 15.672 0.012
61072.6, 15.636 0.011
61073.6, 15.631 0.011
61074.6, 15.641 0.011
61075.6, 15.664 0.012
61076.6, 15.692 0.012
61077.6, 15.723 0.013
61078.6, 15.758 0.014
61079.6, 15.799 0.014
61080.6, 15.842 0.016
61081.6, 15.880 0.017
61082.6, 15.915 0.018
61083.6, 15.958 0.019
61084.6, 16.011 0.019
61085.6, 16.074 0.020
61086.6, 16.143 0.021
61087.6, 16.213 0.024
61088.6, 16.277 0.026
61089.6, 16.335 0.027
61090.6, 16.381 0.028
61091.6, 16.407 0.028
61092.6, 16.412 0.028
61093.6, 16.399 0.028
61094.6, 16.378 0.028
61095.6, 16.354 0.028
61096.6, 16.329 0.027
61097.6, 16.300 0.026
61098.6, 16.268 0.026
61099.6, 16.236 0.026
61100.6, 16.204 0.025
61101.6, 16.172 0.025
61102.6, 16.144 0.025
61103.6, 16.122 0.025
61104.6, 16.110 0.024
61105.6, 16.110 0.023
61106.6, 16.125 0.024
61107.6, 16.155 0.024
61108.6, 16.202 0.025
61109.6, 16.261 0.026
61110.6, 16.330 0.027
61111.6, 16.403 0.029
61112.6, 16.476 0.032
61113.6, 16.545 0.034
61114.6, 16.609 0.036
61115.6, 16.667 0.038
61116.6, 16.720 0.039
61117.6, 16.770 0.042
61118.6, 16.819 0.046
61119.6, 16.869 0.049
61120.6, 16.920 0.051
61121.6, 16.971 0.054
61122.6, 17.023 0.057
61123.6, 17.074 0.059
61124.6, 17.123 0.062
61125.6, 17.170 0.065
61126.6, 17.214 0.069
61127.6, 17.254 0.076
61128.6, 17.290 0.083
61129.6, 17.323 0.087
61130.6, 17.354 0.089
61131.6, 17.385 0.089
61132.6, 17.418 0.088
61133.6, 17.457 0.089
61134.6, 17.501 0.095
61135.6, 17.547 0.105
61136.6, 17.595 0.117
61137.6, 17.640 0.131
61138.6, 17.682 0.144
61139.6, 17.722 0.153
61140.6, 17.760 0.148
61141.6, 17.796 0.135
61142.6, 17.831 0.146
61143.6, 17.865 0.198
61144.6, 17.894 0.292
