# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
60991.7, 15.679 0.011
60992.7, 15.648 0.011
60993.7, 15.622 0.010
60994.7, 15.600 0.009
60995.7, 15.583 0.009
60996.7, 15.569 0.008
60997.7, 15.559 0.007
60998.7, 15.551 0.007
60999.7, 15.546 0.007
61000.7, 15.544 0.007
61001.7, 15.550 0.007
61002.7, 15.559 0.007
61003.7, 15.573 0.007
61004.7, 15.592 0.007
61005.7, 15.616 0.007
61006.7, 15.644 0.008
61007.7, 15.675 0.008
61008.7, 15.712 0.008
61009.7, 15.749 0.008
61010.7, 15.789 0.008
61011.7, 15.832 0.009
61012.7, 15.875 0.009
61013.7, 15.915 0.010
61014.7, 15.957 0.010
61015.7, 15.999 0.011
61016.7, 16.039 0.011
61017.7, 16.074 0.012
61018.7, 16.107 0.012
61019.7, 16.133 0.013
61020.7, 16.154 0.014
61021.7, 16.171 0.014
61022.7, 16.184 0.015
61023.7, 16.194 0.015
61024.7, 16.203 0.015
61025.7, 16.211 0.015
61026.7, 16.218 0.015
61027.7, 16.226 0.016
61028.7, 16.234 0.017
61029.7, 16.242 0.018
61030.7, 16.253 0.019
61031.7, 16.264 0.021
61032.7, 16.278 0.022
61033.7, 16.293 0.023
61034.7, 16.311 0.024
61035.7, 16.331 0.023
61036.7, 16.352 0.022
61037.7, 16.376 0.022
61038.7, 16.402 0.022
61039.7, 16.431 0.022
61040.7, 16.462 0.024
61041.7, 16.496 0.027
61042.7, 16.533 0.030
61043.7, 16.572 0.032
61044.7, 16.615 0.034
61045.7, 16.659 0.034
61046.7, 16.706 0.033
61047.7, 16.755 0.031
61048.7, 16.804 0.029
61049.7, 16.853 0.029
61050.7, 16.902 0.029
61051.7, 16.950 0.030
61052.7, 17.001 0.032
61053.7, 17.050 0.034
61054.7, 17.096 0.037
61055.7, 17.138 0.039
61056.7, 17.177 0.041
61057.7, 17.213 0.042
61058.7, 17.245 0.044
61059.7, 17.273 0.046
61060.7, 17.299 0.048
61061.7, 17.324 0.049
