# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
58499.5, 14.090 0.025
58500.5, 13.903 0.020
58501.5, 13.758 0.016
58502.5, 13.640 0.013
58503.5, 13.534 0.011
58504.5, 13.461 0.010
58505.5, 13.413 0.010
58506.5, 13.393 0.009
58507.5, 13.395 0.009
58508.5, 13.420 0.009
58509.5, 13.466 0.010
58510.5, 13.514 0.011
58511.5, 13.564 0.011
58512.5, 13.622 0.012
58513.5, 13.677 0.013
58514.5, 13.717 0.013
58515.5, 13.756 0.014
58516.5, 13.804 0.014
58517.5, 13.856 0.015
58518.5, 13.915 0.016
58519.5, 13.984 0.017
58520.5, 14.047 0.018
58521.5, 14.085 0.019
58522.5, 14.106 0.020
58523.5, 14.125 0.021
58524.5, 14.147 0.023
58525.5, 14.144 0.024
58526.5, 14.116 0.024
58527.5, 14.081 0.025
58528.5, 14.045 0.025
58529.5, 14.007 0.024
58530.5, 13.970 0.023
58531.5, 13.938 0.021
58532.5, 13.911 0.020
58533.5, 13.888 0.020
58534.5, 13.869 0.020
58535.5, 13.855 0.020
58536.5, 13.846 0.020
58537.5, 13.849 0.020
58538.5, 13.867 0.019
58539.5, 13.899 0.020
58540.5, 13.944 0.022
58541.5, 14.000 0.023
58542.5, 14.065 0.025
58543.5, 14.137 0.028
58544.5, 14.210 0.030
58545.5, 14.281 0.032
58546.5, 14.350 0.032
58547.5, 14.414 0.033
58548.5, 14.470 0.034
58549.5, 14.522 0.036
58550.5, 14.571 0.038
58551.5, 14.616 0.041
58552.5, 14.660 0.044
58553.5, 14.704 0.046
58554.5, 14.752 0.049
58555.5, 14.803 0.052
58556.5, 14.855 0.057
58557.5, 14.906 0.061
58558.5, 14.954 0.067
58559.5, 14.999 0.072
58560.5, 15.043 0.077
58561.5, 15.086 0.081
58562.5, 15.130 0.084
58563.5, 15.177 0.085
58564.5, 15.228 0.086
58565.5, 15.284 0.087
58566.5, 15.338 0.091
58567.5, 15.389 0.102
58568.5, 15.442 0.116
58569.5, 15.492 0.129
58570.5, 15.539 0.138
58571.5, 15.581 0.143
58572.5, 15.618 0.142
58573.5, 15.650 0.142
58574.5, 15.678 0.165
58575.5, 15.702 0.225
58576.5, 15.719 0.320
