# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
58501.5, 13.606 0.030
58502.5, 13.513 0.020
58503.5, 13.438 0.014
58504.5, 13.377 0.010
58505.5, 13.328 0.009
58506.5, 13.289 0.008
58507.5, 13.258 0.007
58508.5, 13.234 0.006
58509.5, 13.217 0.006
58510.5, 13.208 0.006
58511.5, 13.208 0.007
58512.5, 13.219 0.007
58513.5, 13.239 0.007
58514.5, 13.270 0.007
58515.5, 13.312 0.007
58516.5, 13.364 0.007
58517.5, 13.425 0.007
58518.5, 13.492 0.008
58519.5, 13.564 0.009
58520.5, 13.637 0.010
58521.5, 13.707 0.011
58522.5, 13.770 0.011
58523.5, 13.823 0.012
58524.5, 13.862 0.012
58525.5, 13.892 0.013
58526.5, 13.915 0.014
58527.5, 13.931 0.015
58528.5, 13.943 0.015
58529.5, 13.952 0.015
58530.5, 13.959 0.016
58531.5, 13.969 0.016
58532.5, 13.981 0.018
58533.5, 13.996 0.019
58534.5, 14.014 0.019
58535.5, 14.036 0.019
58536.5, 14.061 0.018
58537.5, 14.092 0.018
58538.5, 14.132 0.018
58539.5, 14.180 0.019
58540.5, 14.233 0.021
58541.5, 14.289 0.023
58542.5, 14.347 0.025
58543.5, 14.406 0.027
58544.5, 14.464 0.028
58545.5, 14.522 0.029
58546.5, 14.582 0.030
58547.5, 14.643 0.030
58548.5, 14.706 0.031
58549.5, 14.766 0.032
58550.5, 14.823 0.034
58551.5, 14.876 0.036
58552.5, 14.923 0.038
58553.5, 14.965 0.041
58554.5, 15.000 0.044
58555.5, 15.032 0.046
58556.5, 15.060 0.049
58557.5, 15.086 0.053
58558.5, 15.112 0.059
58559.5, 15.140 0.066
58560.5, 15.170 0.072
58561.5, 15.204 0.076
58562.5, 15.240 0.077
58563.5, 15.277 0.075
58564.5, 15.315 0.074
58565.5, 15.353 0.073
58566.5, 15.392 0.074
58567.5, 15.430 0.078
58568.5, 15.467 0.084
58569.5, 15.503 0.091
58570.5, 15.536 0.101
58571.5, 15.564 0.113
58572.5, 15.588 0.124
58573.5, 15.607 0.133
58574.5, 15.623 0.137
58575.5, 15.640 0.137
58576.5, 15.660 0.134
58577.5, 15.685 0.139
58578.5, 15.718 0.164
58579.5, 15.762 0.220
