time band flux fluxerr zp zpsys
61071.2389 bessellr 13527.787856077668 1171.720815728644 25.71942989 vega
61071.24495 besselli 4937.80914868992 603.608220150772 24.67148135 vega
61072.2282 bessellr 13199.112545572989 1220.7303677474108 25.74455943 vega
61072.23576 besselli 4408.459466155136 755.9652506453656 24.53666758 vega
61078.20209 bessellv 11093.608006890698 1213.2122535489007 25.41831296 vega
61078.2172 bessellr 15078.291811616717 1011.7239202058419 25.63910902 vega
61078.22475 besselli 5519.792346961251 599.1667636097441 24.76819294 vega
61081.12057 bessellv 9631.687866766888 632.0431053325339 25.46476464 vega
61081.13571 bessellr 13176.157454724642 987.5105803631934 25.75963794 vega
61081.14328 besselli 2942.6013643640053 528.3562695041761 24.58729318 vega
61089.11237 bessellr 8682.712879846647 469.698342706927 25.78110997 vega
61089.11993 besselli 2316.5932362430235 330.3783373908001 24.71967282 vega
61092.11055 bessellv 9804.328181122874 664.2828505599434 25.52859626 vega
61092.12569 bessellr 7552.03774683648 1319.0184038683685 25.69493948 vega
61093.95902 bessellv 6999.2157371725525 779.7410609021363 25.60370468 vega
61093.9653 bessellb 2920.654466566845 497.4166110035369 25.00972309 vega
61094.16009 bessellr 6573.469194148196 512.809740289637 25.62444194 vega
61094.16765 besselli 968.5360627462289 354.77023367431855 24.72473218 vega
61095.18926 bessellr 6123.292253374755 490.00973555014656 25.65559247 vega
61095.19683 besselli 1869.1444433799945 302.69995745589915 24.81307553 vega
61103.0118 bessellv 5961.523496444023 1123.7652294410043 25.72189029 vega
61106.09559 bessellv 3240.7678665397366 809.0576187295907 25.47934394 vega
61106.1107 bessellr 5130.455440638153 1014.4661531830648 25.46722555 vega
61106.11826 besselli 1686.6087768579057 781.3468493459833 24.89858767 vega
61107.05118 bessellv 2599.6442695892692 508.2311920955021 25.32329461 vega
61107.06026 bessellb 439.65189762551597 542.1407702266443 25.12068464 vega
61107.06631 bessellr 7208.903964790489 896.5290929788879 25.73071466 vega
61107.07388 besselli 4687.529695500267 723.824081697685 24.76910711 vega
61108.06 bessellr 4622.460705424658 517.1262371119283 25.68881964 vega
61108.06757 besselli 2857.633102131826 366.14008095083136 24.66175772 vega
61110.05549 bessellr 3655.6847411511044 337.4476723738267 25.35663918 vega
61112.06059 bessellv 1999.1093942008824 251.98342765520712 24.80021608 vega
61112.07569 bessellr 3672.5575328238842 513.7553698537605 25.61879387 vega
61112.08326 besselli 1951.78704930343 498.55408234215236 24.67994114 vega
61115.0431 bessellv 1477.9846649666463 231.0533564369378 25.37362022 vega
