time band flux fluxerr zp zpsys
60998.11933 bessellv 1774.3129896280386 224.60164269975897 25.58872802 vega
60998.12692 bessellb 1564.5134460588756 137.53360063900374 25.03399279 vega
60998.13449 bessellr 2792.623420915316 306.17845678977403 25.89712268 vega
60998.14206 besselli 1599.9072410924518 315.18513141612 24.89876715 vega
61005.1414 bessellv 4799.744459915566 245.971446522329 25.48506944 vega
61005.14899 bessellb 3146.708316945632 186.06051026265962 25.18234986 vega
61005.15657 bessellr 7507.268969605888 321.1399546148423 25.80388748 vega
61005.16414 besselli 3555.3136807550627 308.2048984726584 24.87131635 vega
61006.25031 bessellv 5576.459340661827 264.5602380407437 25.46072019 vega
61006.2579 bessellb 4381.1967415762065 172.3680776388564 25.27940862 vega
61006.26547 bessellr 9031.4892223177 355.7753394720234 25.8336151 vega
61006.27304 besselli 4505.3339102972695 347.1329835587076 24.92923878 vega
61008.08952 bessellv 7086.440157314645 277.7725663290822 25.45151019 vega
61008.09711 bessellb 4500.421180968562 195.9791758528864 25.02733833 vega
61008.10469 bessellr 10725.10478588936 386.81922592050927 25.81446049 vega
61008.11226 besselli 5118.710455691919 351.75885275066815 24.82024487 vega
61009.08267 bessellv 8121.120452576461 346.6376481495246 25.5059705 vega
61009.09191 bessellb 5114.299249378954 252.63312059422526 25.1305886 vega
61009.09948 bessellr 11523.424905355527 424.82678629371105 25.74936032 vega
61009.10706 besselli 5350.702835166166 380.5038322514017 24.79145826 vega
61013.07443 bessellv 9150.377261688574 736.1980494903715 25.18162979 vega
61013.08201 bessellb 6319.2740796608605 692.5818925664115 25.08416841 vega
61013.08958 bessellr 14122.740006022192 825.9044140522118 25.59299827 vega
61015.07688 bessellb 7769.339510625524 947.5154398735618 25.19682963 vega
61015.09205 besselli 12682.808061596113 1338.5675205767857 24.82721602 vega
61017.06005 bessellv 12495.407502960916 1761.9766152116415 25.43065139 vega
61017.07521 bessellr 12070.020841463993 2514.4164566134245 25.52090532 vega
61020.06918 bessellb 5748.134743635163 325.0713703971021 25.10268636 vega
61020.07675 bessellr 16387.593553284452 620.4317001847218 25.69381392 vega
61020.08432 besselli 8504.657101075749 467.7177407576573 24.73351511 vega
61028.03033 bessellv 9041.725457447388 261.6863407196371 25.18516574 vega
61028.03793 bessellb 4056.2747867171597 181.38400302199076 25.05240352 vega
61028.04549 bessellr 16212.991536822652 432.899198496698 25.61954648 vega
61028.05307 besselli 8360.814501531331 341.7909820020203 24.62375593 vega
61029.08357 bessellv 10867.577551049539 261.4273612521807 25.47477959 vega
61029.09116 bessellb 4002.8455393672 183.70374560204434 25.21979836 vega
61029.09874 bessellr 17692.100756037897 412.7895344117911 25.76817683 vega
61029.10631 besselli 9175.364372723807 368.2148436757522 24.79530284 vega
61030.02655 bessellv 11241.034377981641 304.31210045182974 25.5042808 vega
61030.03414 bessellb 4323.591516264679 183.16718923034526 25.12514812 vega
61030.04171 bessellr 18512.434886725565 435.68787745960447 25.79904848 vega
61030.04929 besselli 9792.896758822384 378.34141129847245 24.86280098 vega
61031.05323 bessellv 10675.261444547423 320.081293528572 25.4877241 vega
61035.00951 bessellv 9501.273243919231 290.4959210266553 25.40987392 vega
61035.01709 bessellb 3445.29768238218 169.6061745252106 25.12645301 vega
61035.02467 bessellr 17120.26000454054 450.8752776107382 25.71118989 vega
61035.03224 besselli 9738.444824469148 369.61964476729213 24.83959192 vega
61036.02398 bessellv 8371.812787941133 261.74363619650853 25.27118693 vega
61036.03157 bessellb 3319.873074040838 186.1781903997315 25.06388092 vega
61036.03914 bessellr 17846.141001364183 448.5449774499643 25.80125503 vega
61036.04672 besselli 9934.344219909863 379.77614393767743 24.78206963 vega
61049.9729 bessellv 5594.729530464287 227.67401500491968 25.13356696 vega
61049.98048 bessellb 1138.8854799135381 146.33818872714897 24.61989282 vega
61049.98805 bessellr 12472.292977666088 370.08754196065877 25.53639347 vega
61049.99563 besselli 6973.641091130265 322.79158615589495 24.47109787 vega
61051.96736 bessellv 5949.887963055513 239.46940414717906 25.26151614 vega
61051.97495 bessellb 1673.4806072501085 128.60984794577422 25.02222022 vega
61051.98252 bessellr 12213.014704752823 382.530338980365 25.67730853 vega
61051.9901 besselli 6692.528788209961 330.44992022416915 24.5696713 vega
61062.02047 bessellv 4789.338884715677 232.52795762585853 25.40066243 vega
61062.02805 bessellb 1284.623220683431 155.3589914734945 25.11699684 vega
61062.03562 bessellr 9749.89134838277 409.77738471377984 25.73689873 vega
61062.0432 besselli 6137.0838920986835 322.6712887195963 24.81672056 vega
61062.93535 bessellv 4463.677527188245 245.6174011567994 25.27302472 vega
61067.93018 bessellv 3197.80404843691 456.52457444860664 24.98747615 vega
61067.94534 bessellr 7733.642994267308 609.4900334179653 25.5321145 vega
61075.87728 bessellv 4023.75220791513 225.0089810865222 25.34680692 vega
61078.91287 bessellv 3219.868029992464 231.90158454782872 25.3235905 vega
61078.92045 bessellb 909.0609114198077 133.83779569837515 25.00931345 vega
61078.92802 bessellr 7102.356504023553 348.70797257411704 25.66737225 vega
61078.93559 besselli 4996.722465961841 317.4812367029255 24.76527874 vega
