# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
58502.6, 13.543 0.016
58503.6, 13.417 0.011
58504.6, 13.321 0.009
58505.6, 13.245 0.008
58506.6, 13.190 0.007
58507.6, 13.148 0.006
58508.6, 13.117 0.006
58509.6, 13.094 0.006
58510.6, 13.079 0.006
58511.6, 13.074 0.006
58512.6, 13.080 0.006
58513.6, 13.098 0.007
58514.6, 13.129 0.007
58515.6, 13.172 0.007
58516.6, 13.228 0.007
58517.6, 13.293 0.008
58518.6, 13.368 0.008
58519.6, 13.448 0.009
58520.6, 13.532 0.010
58521.6, 13.611 0.010
58522.6, 13.680 0.011
58523.6, 13.736 0.011
58524.6, 13.781 0.012
58525.6, 13.816 0.012
58526.6, 13.838 0.013
58527.6, 13.850 0.014
58528.6, 13.855 0.014
58529.6, 13.858 0.014
58530.6, 13.862 0.014
58531.6, 13.871 0.014
58532.6, 13.888 0.014
58533.6, 13.914 0.014
58534.6, 13.949 0.014
58535.6, 13.990 0.015
58536.6, 14.035 0.016
58537.6, 14.082 0.016
58538.6, 14.131 0.016
58539.6, 14.183 0.017
58540.6, 14.239 0.019
58541.6, 14.300 0.022
58542.6, 14.366 0.024
58543.6, 14.434 0.026
58544.6, 14.505 0.027
58545.6, 14.575 0.028
58546.6, 14.637 0.029
58547.6, 14.686 0.030
58548.6, 14.723 0.032
58549.6, 14.758 0.035
58550.6, 14.796 0.037
58551.6, 14.841 0.037
58552.6, 14.892 0.035
58553.6, 14.946 0.035
58554.6, 15.002 0.038
58555.6, 15.056 0.043
58556.6, 15.106 0.049
58557.6, 15.148 0.053
58558.6, 15.185 0.054
58559.6, 15.217 0.057
58560.6, 15.248 0.061
58561.6, 15.279 0.064
58562.6, 15.312 0.066
58563.6, 15.346 0.067
58564.6, 15.380 0.068
58565.6, 15.412 0.069
58566.6, 15.443 0.072
58567.6, 15.473 0.077
58568.6, 15.499 0.085
58569.6, 15.522 0.093
58570.6, 15.542 0.098
58571.6, 15.558 0.097
58572.6, 15.574 0.094
58573.6, 15.593 0.094
58574.6, 15.616 0.095
58575.6, 15.644 0.100
58576.6, 15.677 0.109
