# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
60983.7, 15.752 0.008
60984.7, 15.704 0.008
60985.7, 15.663 0.007
60986.7, 15.630 0.007
60987.7, 15.603 0.007
60988.7, 15.583 0.006
60989.7, 15.567 0.006
60990.7, 15.557 0.006
60991.7, 15.551 0.006
60992.7, 15.549 0.005
60993.7, 15.550 0.006
60994.7, 15.554 0.006
60995.7, 15.562 0.006
60996.7, 15.572 0.006
60997.7, 15.585 0.006
60998.7, 15.602 0.006
60999.7, 15.621 0.006
61000.7, 15.643 0.006
61001.7, 15.667 0.006
61002.7, 15.693 0.006
61003.7, 15.722 0.006
61004.7, 15.752 0.007
61005.7, 15.784 0.007
61006.7, 15.817 0.007
61007.7, 15.852 0.007
61008.7, 15.888 0.008
61009.7, 15.926 0.008
61010.7, 15.967 0.008
61011.7, 16.009 0.009
61012.7, 16.053 0.009
61013.7, 16.099 0.009
61014.7, 16.145 0.010
61015.7, 16.192 0.011
61016.7, 16.237 0.012
61017.7, 16.280 0.012
61018.7, 16.320 0.013
61019.7, 16.358 0.013
61020.7, 16.394 0.014
61021.7, 16.429 0.014
61022.7, 16.463 0.016
61023.7, 16.497 0.017
61024.7, 16.532 0.019
61025.7, 16.568 0.021
61026.7, 16.606 0.022
61027.7, 16.646 0.023
61028.7, 16.688 0.023
61029.7, 16.729 0.022
61030.7, 16.771 0.020
61031.7, 16.812 0.020
61032.7, 16.851 0.021
61033.7, 16.889 0.023
61034.7, 16.929 0.027
61035.7, 16.972 0.031
61036.7, 17.015 0.035
61037.7, 17.058 0.037
61038.7, 17.100 0.038
61039.7, 17.141 0.037
61040.7, 17.179 0.036
61041.7, 17.214 0.034
61042.7, 17.247 0.033
61043.7, 17.278 0.032
61044.7, 17.311 0.032
61045.7, 17.347 0.033
61046.7, 17.385 0.035
61047.7, 17.425 0.038
61048.7, 17.466 0.041
61049.7, 17.505 0.043
61050.7, 17.540 0.045
61051.7, 17.569 0.047
61052.7, 17.594 0.049
61053.7, 17.613 0.049
61054.7, 17.629 0.048
61055.7, 17.644 0.046
61056.7, 17.659 0.043
61057.7, 17.674 0.041
61058.7, 17.692 0.039
61059.7, 17.711 0.039
61060.7, 17.730 0.041
61061.7, 17.748 0.044
