# column 1: time
# column 2:  model magnitude
# column 3:  model magnitude error
61026.1, 14.924 0.015
61027.1, 14.853 0.011
61028.1, 14.798 0.011
61029.1, 14.756 0.011
61030.1, 14.723 0.010
61031.1, 14.699 0.009
61032.1, 14.681 0.008
61033.1, 14.669 0.007
61034.1, 14.661 0.007
61035.1, 14.659 0.007
61036.1, 14.664 0.007
61037.1, 14.675 0.007
61038.1, 14.695 0.007
61039.1, 14.722 0.007
61040.1, 14.757 0.008
61041.1, 14.799 0.008
61042.1, 14.847 0.008
61043.1, 14.901 0.008
61044.1, 14.958 0.009
61045.1, 15.017 0.010
61046.1, 15.076 0.010
61047.1, 15.133 0.011
61048.1, 15.184 0.012
61049.1, 15.228 0.013
61050.1, 15.263 0.013
61051.1, 15.290 0.014
61052.1, 15.310 0.015
61053.1, 15.325 0.015
61054.1, 15.337 0.015
61055.1, 15.348 0.015
61056.1, 15.360 0.016
61057.1, 15.373 0.017
61058.1, 15.387 0.019
61059.1, 15.403 0.021
61060.1, 15.422 0.023
61061.1, 15.444 0.024
61062.1, 15.470 0.023
61063.1, 15.500 0.022
61064.1, 15.533 0.022
61065.1, 15.571 0.023
61066.1, 15.613 0.026
61067.1, 15.660 0.029
61068.1, 15.711 0.033
61069.1, 15.768 0.034
61070.1, 15.828 0.033
61071.1, 15.893 0.031
61072.1, 15.958 0.029
61073.1, 16.023 0.029
61074.1, 16.086 0.030
61075.1, 16.146 0.033
61076.1, 16.202 0.036
61077.1, 16.252 0.039
61078.1, 16.296 0.042
61079.1, 16.336 0.043
61080.1, 16.371 0.045
61081.1, 16.402 0.048
61082.1, 16.431 0.049
61083.1, 16.459 0.048
61084.1, 16.487 0.045
61085.1, 16.516 0.043
61086.1, 16.547 0.044
61087.1, 16.579 0.049
61088.1, 16.613 0.057
61089.1, 16.647 0.066
61090.1, 16.679 0.070
61091.1, 16.712 0.069
61092.1, 16.745 0.065
61093.1, 16.780 0.061
61094.1, 16.818 0.062
61095.1, 16.857 0.068
61096.1, 16.899 0.076
61097.1, 16.937 0.083
61098.1, 16.969 0.089
61099.1, 16.993 0.094
61100.1, 17.009 0.097
61101.1, 17.020 0.099
61102.1, 17.030 0.102
