#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61071.24  15.438  0.184  0
61072.24  15.426  0.259  0
61078.22  15.413  0.161  0
61081.14  15.915  0.269  0
61089.12  16.308  0.210  0
61094.17  17.259  0.504  0
61095.20  16.634  0.235  0
61106.12  16.831  0.627  0
61107.07  15.592  0.228  0
61108.07  16.022  0.189  0
61112.08  16.454  0.376  0
